ds,y
2013-03-06,13.8
2013-03-07,13.6
2013-03-08,13.9
2013-03-11,14.2
2013-03-12,14.0
2013-03-13,13.8
2013-03-14,13.8
2013-03-15,13.9
2013-03-18,13.8
2013-03-19,13.8
2013-03-20,13.8
2013-03-21,13.9
2013-03-22,13.7
2013-03-25,13.8
2013-03-26,13.7
2013-03-27,13.7
2013-03-28,13.5
2013-03-29,13.4
2013-04-01,13.9
2013-04-02,13.7
2013-04-03,13.7
2013-04-04,13.7
2013-04-05,14.0
2013-04-08,14.4
2013-04-09,14.9
2013-04-10,14.3
2013-04-11,14.4
2013-04-12,14.0
2013-04-15,13.6
2013-04-16,13.7
2013-04-17,13.9
2013-04-18,13.6
2013-04-22,13.4
2013-04-23,13.5
2013-04-24,13.5
2013-04-25,13.7
2013-04-26,13.6
2013-05-02,13.5
2013-05-03,13.8
2013-05-06,14.1
2013-05-07,13.8
2013-05-08,13.8
2013-05-09,13.9
2013-05-10,13.9
2013-05-13,13.9
2013-05-14,13.6
2013-05-15,13.7
2013-05-16,13.9
2013-05-17,14.0
2013-05-20,14.1
2013-05-21,14.2
2013-05-22,14.5
2013-05-23,14.3
2013-05-24,14.4
2013-05-27,14.6
2013-05-28,14.7
2013-05-29,15.0
2013-05-30,15.6
2013-05-31,15.6
2013-06-03,15.5
2013-06-04,15.1
2013-06-05,15.4
2013-06-06,15.3
2013-06-07,15.5
2013-06-10,15.4
2013-06-11,15.4
2013-06-12,15.4
2013-06-13,14.5
2013-06-14,14.4
2013-06-17,13.9
2013-06-18,13.9
2013-06-19,13.8
2013-06-20,13.7
2013-06-21,13.7
2013-06-24,13.6
2013-06-25,13.3
2013-06-26,13.3
2013-06-27,13.4
2013-06-28,13.3
2013-07-01,13.3
2013-07-02,13.5
2013-07-03,13.4
2013-07-04,13.3
2013-07-05,13.0
2013-07-08,13.2
2013-07-09,13.2
2013-07-10,13.3
2013-07-11,13.2
2013-07-12,13.5
2013-07-15,13.6
2013-07-16,13.5
2013-07-17,13.6
2013-07-18,13.6
2013-07-19,13.7
2013-07-22,13.8
2013-07-23,13.8
2013-07-24,13.4
2013-07-25,13.4
2013-07-26,13.3
2013-07-29,13.1
2013-07-30,13.2
2013-07-31,13.3
2013-08-01,13.4
2013-08-02,13.4
2013-08-05,13.3
2013-08-06,13.3
2013-08-07,13.3
2013-08-08,13.3
2013-08-09,13.4
2013-08-12,13.4
2013-08-13,13.3
2013-08-14,13.3
2013-08-15,13.4
2013-08-16,13.4
2013-08-19,13.7
2013-08-20,13.6
2013-08-21,13.7
2013-08-22,13.5
2013-08-23,13.5
2013-08-26,13.6
2013-08-27,13.5
2013-08-28,13.3
2013-08-29,13.2
2013-08-30,13.4
2013-09-03,13.3
2013-09-04,13.2
2013-09-05,13.2
2013-09-06,13.2
2013-09-09,12.9
2013-09-10,13.0
2013-09-11,13.0
2013-09-12,13.2
2013-09-13,13.1
2013-09-16,13.0
2013-09-17,12.9
2013-09-18,12.9
2013-09-19,13.0
2013-09-20,13.0
2013-09-23,13.1
2013-09-24,13.2
2013-09-25,13.4
2013-09-26,13.7
2013-09-27,13.5
2013-09-30,13.6
2013-10-01,14.2
2013-10-02,14.6
2013-10-03,14.7
2013-10-04,14.7
2013-10-07,15.5
2013-10-08,15.3
2013-10-09,15.2
2013-10-10,15.7
2013-10-11,15.6
2013-10-14,15.2
2013-10-15,15.6
2013-10-16,15.7
2013-10-17,16.1
2013-10-18,16.5
2013-10-21,16.3
2013-10-22,16.1
2013-10-23,16.5
2013-10-24,16.5
2013-10-25,16.2
2013-10-28,15.5
2013-10-29,15.8
2013-10-30,15.6
2013-10-31,15.6
2013-11-01,15.5
2013-11-04,15.9
2013-11-05,15.8
2013-11-06,15.9
2013-11-07,16.0
2013-11-08,15.9
2013-11-11,16.4
2013-11-12,16.0
2013-11-13,15.9
2013-11-14,15.8
2013-11-15,15.9
2013-11-18,16.4
2013-11-19,16.9
2013-11-20,17.0
2013-11-21,17.0
2013-11-22,17.1
2013-11-25,16.9
2013-11-26,16.9
2013-11-27,16.9
2013-11-28,17.0
2013-11-29,16.9
2013-12-02,16.9
2013-12-03,17.5
2013-12-04,18.1
2013-12-05,18.0
2013-12-06,18.1
2013-12-09,17.8
